No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren,
165,5/26/2025,2025,PT AMINCO JAYA PRATAMA,Jasa konstruksi & engineering,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
166,2/3/2025,2025,PT Sibadihon Sawitta Torop Lestari,Perkebunan kelapa sawit,Medan,Bahan baku,Bukan Tbk,,Disclosed,Rp1.500.000.000,,Rp6.453.462.629,
167,2/17/2025,2025,Sahabat Farma,Distribusi farmasi dan alat kesehatan,Makassar,Kesehatan,Bukan Tbk,,Disclosed,Rp757.466.950,,,
168,7/23/2025,2025,PT. BINTANG SINAR PERSADA,Perdagangan umum dan konstruksi,Makassar,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
169,1/31/2025,2025,PT Buana Niaga Perkasa,Perdagangan umum dan distribusi,Medan,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
170,10/8/2025,2025,PT Ceria Alam Sentosa,Pertambangan mineral & SDA,Makassar,Bahan baku,Bukan Tbk,,Undisclosed,,,,
171,12/8/2025,2025,PT. Sudiro Tungga Jaya,Distribusi suku cadang otomotif,Surabaya,Transportasi,Bukan Tbk,,Undisclosed,,,,
172,1/23/2025,2025,PT. ARMINDO CATUR PRATAMA,"Industri & konstruksi baja (pipa, guardrail, tower)",Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0,
173,5/6/2025,2025,PT IRAWAN PRIMA UTAMA,Kontraktor umum & fabrikasi baja — bangunan industri,Medan,Infrastruktur,Bukan Tbk,,Disclosed,Rp532.000.000,Rp0,Rp0,
174,2/3/2025,2025,PT. JAYA ALAM PERSADA,Perdagangan umum dan jasa,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
175,12/31/2025,2025,PT Mitra Pembangunan Global,Kontraktor konstruksi dan pembangunan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
176,3/10/2025,2025,PT. Kertas Trinitra Mandiri,Manufaktur dan produksi kertas,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
177,2/24/2025,2025,PT EMKA BESCHLAGTEILE PACIFIC (dahulu PT SELECTRIX INDONESIA),Manufaktur dan distribusi aksesoris bangunan/furnitur,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
178,10/9/2025,2025,PT. ANNAPURNA JAYA AGUNG,Distribusi produk konsumen & FMCG,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
179,8/29/2025,2025,"PT Sejahtera Bintang Abadi Textile, Tbk",Manufaktur tekstil dan produk benang,Jakarta Pusat,Perindustrian,Tbk,,Undisclosed,,,,
180,9/30/2025,2025,PT Chakra Giri Energi Indonesia,Kontraktor dan jasa sektor energi,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,Rp1.559.550.000,Rp0,Rp0,
181,8/19/2025,2025,PT MALINDO MANDIRI MAKMUR,Peternakan ayam dan produk peternakan,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,Rp40.643.585.077,Rp0,Rp0,
182,4/22/2025,2025,PT BODDIA JAYA,Perikanan dan budidaya laut,Makassar,Bahan baku,Bukan Tbk,,Disclosed,Rp3.077.666.569,Rp0,Rp0,
183,12/10/2025,2025,PT Fazar Utama Abadi,Jasa konstruksi & pengadaan,Surabaya,Infrastruktur,Bukan Tbk,,Disclosed,Rp622.659.910,Rp0,Rp0,
184,5/28/2025,2025,PT Hutama Karya (Persero) C.q. Divisi EPC,"Engineering, Procurement & Construction (EPC)",Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0,
185,5/29/2025,2025,PT Euroasiatic Head & Power System,Jasa teknik kelistrikan dan sistem daya,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0,
186,5/30/2025,2025,Uttam Sucrotech PVT Limitted,Teknologi dan solusi industri gula,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0,
187,4/24/2025,2025,PT. SUSILO JAYA PRATAMA,Perdagangan umum,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
188,4/15/2025,2025,PT. Lautan Grahamas,Perdagangan dan distribusi bahan kimia,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
189,7/28/2025,2025,PT AZHARINDO UTAMA,Konstruksi bangunan,Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
190,10/6/2025,2025,"PT INTI BUMI PERKASA diwakili oleh Drs. DODY DRADJAT, MM",Pertambangan & pengelolaan SDA,Bandung,Bahan baku,Bukan Tbk,,Undisclosed,,,,
191,9/16/2025,2025,PT. Semen Kupang (PERSERO),Semen,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,Rp401.306.333,Rp0,Rp0,
192,9/24/2025,2025,PT Artha Mahiya Investama Tbk,Investasi keuangan,Jakarta Pusat,Keuangan,Tbk,,Undisclosed,,,,
193,1/2/2025,2025,PT BANGUN KARYA PERSADA NUSANTARA,Kontraktor lahan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,Rp12.988.872.658,,Rp17.325.004.859,
194,9/11/2025,2025,PT ADHI PERSADA GEDUNG,Jasa Konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
195,6/18/2025,2025,PT CITRALOKA BUMI BEGAWAN,Perkebunan Kelapa Sawit,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
196,1/9/2025,2025,PT TEKTONINDO BEJANA BAJA,kontraktor konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
197,4/17/2025,2025,PT DOS NI ROHA,Distribusi dan Logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
198,7/14/2025,2025,PT. ZARINDAH PERDANA,Developer apartemen,Makassar,Properti & real estate,Bukan Tbk,,Disclosed,Rp145.000.000,Rp0,Rp0,
199,7/30/2025,2025,PT Bara Prima Mandiri,Pertambangan Batu Bara,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
200,9/8/2025,2025,PT Waskita Karya (Persero) Tbk,Konstruksi Infrastruktur,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
201,11/17/2025,2025,PT. SUMATERA PULAU MAS INDONESIA,Industri Pengolahan Kelapa Sawit,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,,
202,6/18/2025,2025,PT CIPTAMAS BUMISELARAS,perkebunan kelapa sawit dan pabrik kelapa sawit,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
203,3/10/2025,2025,PT KAHARUTAMA,kontraktor konstruksi dan jasa pengelolaan properti/gedung,Medan,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
204,2/20/2025,2025,PT Indo Genesis Medika,distributor dan perdagangan alat-alat kesehata,Jakarta Pusat,Kesehatan,Bukan Tbk,###########,Undisclosed,,,,
205,12/3/2025,2025,PT Agro Maju Jaya Bersama,Keagenan Awak Kapal,Medan,Transportasi,Bukan Tbk,,Undisclosed,,,,
206,10/7/2025,2025,PT WANXIANG NICKEL INDONESIA,industri smelter nikel,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
207,7/21/2025,2025,PT Propernas Griya Utama,perumahan kelas menengah,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
208,8/13/2025,2025,PT PANON MAHIA NUSA,konsultan marketing,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
209,5/6/2025,2025,PT Wijaya Karya Industri & Konstruksi,industri manufaktur baja,Medan,Transportasi,Bukan Tbk,,Undisclosed,,,,
210,3/11/2025,2025,PT USAHA SEPAKAT MAJU BERSAMA,jasa transportasi,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp23.831.487.666,,Rp13.646.096.631,
211,5/28/2025,2025,PT Karya Ardi Prestasi,pemasok batu pecah (batu split) dan material konstruks,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
212,12/23/2025,2025,PT. SAKA MITRA SEJATI,jasa sewa kendaraan korporasi (Tugu Rent) dan pengelolaan properti/sewa ruang kantor (Wisma Tugu).,Medan,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
213,4/17/2025,2025,PT Rajawali Nusindo,"perdagangan dan distribusi produk konsumsi (FMCG), alat kesehatan, produk farmasi,",Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
214,9/25/2025,2025,PT WIJAYA KARYA BANGUNAN GEDUNG TBK,konstruksi bangunan,Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
215,2/17/2025,2025,PT PP Properti Tbk,pengembangan properti,Jakarta Pusat,Properti & real estate,Tbk,,Undisclosed,,,,
216,7/3/2025,2025,PT Ossiana Sakti Ekamaju,manufaktur produk karet dan jasa vulkanisi,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
217,11/3/2025,2025,PT BANDUNG DAYA SENTOSA (PERSERODA),"perdagangan, agribisnis, dan industri",Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
218,12/29/2025,2025,PT Basirih Industrial,"industri pengolahan kayu, khususnya memproduksi kayu lapis (plywood),",Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
219,4/24/2025,2025,PT TATA BUMI RAYA,jasa penyewaan (rental) alat berat,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
220,2/26/2025,2025,PT GRIYATON INDONESIA,konstruksi dan kontraktor umum (general contractor),Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
221,7/17/2025,2025,PT NUSA HALMAHERA MINERALS,penyediaan beton pracetak,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
222,9/17/2025,2025,PT PALM LESTARI MAKMUR,pertambangan emas,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
223,5/15/2025,2025,PT. Widjaja Putra Jaya,Konstruksi dan kontraktor kayu,Surabaya,Infrastruktur,Bukan Tbk,,Disclosed,,,Rp210.000.000,
224,4/24/2025,2025,PT Sarana Cipta Unggul,Jasa konstruksi dan pengadaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
225,4/30/2025,2025,PT CAHAYA FROZEN RAYA,Distribusi produk makanan beku (frozen food),Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
226,9/25/2025,2025,PT INTI PRIMA RASA,Produksi dan distribusi makanan,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
227,1/9/2025,2025,PT. Wastra Indah,Manufaktur batik dan tekstil tradisional,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
228,6/18/2025,2025,PT. GAMINDRA MITRAKESUMA,Jasa pertambangan dan alat berat,Medan,Energi,Bukan Tbk,,Undisclosed,,,,
229,5/19/2025,2025,PT. KALPATARU SAWIT PLANTATION,Perkebunan kelapa sawit,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
230,7/23/2025,2025,PT Kertas Basuki Rachmat,Manufaktur dan produksi kertas,Surabaya,Perindustrian,Bukan Tbk,,Disclosed,,,Rp780.063.404.370,
231,5/22/2025,2025,PT. YVE Habitat Limo,Pengembang properti perumahan,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
232,10/27/2025,2025,PT SEI BALAI GREEN ENERGY,Energi terbarukan dan pengolahan makanan,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
233,4/25/2025,2025,PT.SENECA INDONESIA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
234,8/7/2025,2025,PT Pembangunan Perumahan Urban,Pengembangan dan konstruksi kawasan hunian perkotaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
235,6/2/2025,2025,CV. Surya Kencana Abadi,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
236,9/25/2025,2025,PT Adhi Karya (Persero) Tbk.,Konstruksi dan pembangunan infrastruktur (BUMN),Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,,
237,3/27/2025,2025,PT Aja Mega Perkasa,Perdagangan umum dan jasa,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
238,10/14/2025,2025,PT Bahtera Niaga Indonesia,Jasa angkutan laut dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp364.393.500.000,,,
239,3/19/2025,2025,PT CIPADANG JAYABAYA PUTRA UTAMA,Kontraktor konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
240,7/3/2025,2025,PT PARANTA ANUGERAH PRIMA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
241,10/2/2025,2025,PT. AGRO TUMBUH GEMILANG ABADI,Perkebunan dan agribisnis,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,,
242,9/4/2025,2025,PT Semesta Energi Services,Jasa pengeboran dan layanan sektor energi,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
243,7/31/2025,2025,PT Fortunindo Artha Perkasa,Jasa keuangan dan investasi,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,,
244,3/20/2025,2025,PT. MAJA AGUNG LATEXINDO,Manufaktur produk latex dan karet,Medan,Perindustrian,Bukan Tbk,,Disclosed,,,Rp290.023.650,
245,4/8/2025,2025,PT.YVE Habitat Limo,Pengembang properti perumahan,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
246,9/11/2025,2025,PT PABRIK KERTAS INDONESIA,Manufaktur dan produksi kertas,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
247,9/16/2025,2025,PT MITRA MULTIDIMENSI SEJAHTERA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
248,4/24/2025,2025,PT. FARSIENDO NICE COMM,Perdagangan umum dan komunikasi,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
249,1/3/2025,2025,PT Wijaya Karya Industri dan Konstruksi,Konstruksi industri dan manufaktur,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
250,3/6/2025,2025,PT. KELOLA JASA ARTHA,Jasa keuangan dan pengelolaan aset,Jakarta Pusat,Keuangan,Bukan Tbk,,Disclosed,,,"285714285,7","285714285,7"
251,11/24/2025,2025,PT Umran Rubi Perkasa,Perdagangan umum dan konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
252,10/9/2025,2025,PT Solusi Musi Persada,Jasa dan solusi industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,,,Rp1.805.500.000,
253,12/3/2025,2025,PT Supermal Karawaci,Pengelola pusat perbelanjaan (mal),Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,,,Rp3.349.163.180.330,
254,4/29/2025,2025,PT Bumi Waringin Indonesia,Perkebunan dan agribisnis,Jakarta Pusat,Bahan baku,Bukan Tbk,,Disclosed,,,Rp3.636.622.575,
255,2/7/2025,2025,PT. Gotong Royong Jaya,Perdagangan umum dan jasa,Medan,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp2.801.636.950,
256,11/17/2025,2025,PT. SIGMA UTAMA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
257,9/25/2025,2025,.PT RAHAYU MITRA BERSAMA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp5.420.000.000,
258,6/24/2025,2025,PT Unchu Multi Indonesia,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp1.573.774.060,
259,12/1/2025,2025,PT Logam Mas Indah,Manufaktur dan perdagangan produk logam,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,,
260,5/26/2025,2025,PT ERA BANGUN JAYA,Konstruksi dan pembangunan,Medan,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
261,11/17/2025,2025,PT Berkah Aneka Laut,Perikanan dan budidaya laut,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,,
262,10/2/2025,2025,PT WAHANA INFRASTRUKTUR NUSANTARA,Jasa kontraktor infrastruktur,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,,,Rp554.500.000,
263,7/7/2025,2025,"PT. Eratex Djaja, Tbk",Manufaktur tekstil dan garmen,Jakarta Pusat,Perindustrian,Tbk,,Disclosed,,,Rp1.495.194.369,
264,12/17/2025,2025,PT. GIRVI MAS,Perdagangan umum dan distribusi,Medan,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
265,6/23/2025,2025,PT. PERUSAHAAN PERSEROAN DAERAH PERKEBUNAN SUMATERA UTARA,"Perkebunan komoditas (kelapa sawit, karet) milik daerah",Medan,Bahan baku,Bukan Tbk,,Disclosed,,,Rp123.681.128,
266,11/17/2025,2025,PT ASIANET MEDIA TEKNOLOGI,Penyedia layanan internet dan teknologi informasi,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,,,,
267,10/29/2025,2025,PT Mitra Murni Perkasa,Kontraktor dan jasa pertambangan,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,,
268,5/26/2025,2025,PT Wahana Jaya Prima,Pengembang Properti & real estate,Medan,Properti & real estate,Bukan Tbk,,Disclosed,,,,
269,4/10/2025,2025,PT ONASIS INDONESIA,"Konstruksi EPCI (Engineering, Procurement, Construction & Installation)",Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,,,Rp20.188.985.020,
270,11/17/2025,2025,PT.Gaharu Shipping,Jasa pelayaran dan angkutan laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
271,9/8/2025,2025,PT Pusaka Bumi Transportasi,Jasa transportasi dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
272,6/26/2025,2025,PT RAJA PRIMA SUMATERA,Jasa transportasi dan distribusi,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
273,10/20/2025,2025,PT ASIANA SENOPATI,Hotel dan akomodasi,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,,
274,12/29/2025,2025,PT Sentosa Laju Sejahtera,Jasa transportasi dan logistik,Surabaya,Transportasi,Bukan Tbk,,Undisclosed,,,,
275,12/23/2025,2025,"PT Tri Banyan Tirta, Tbk",Produksi dan distribusi air minum dalam kemasan (AMDK),Jakarta Pusat,Barang konsumen primer,Tbk,,Undisclosed,,,,
276,6/6/2025,2025,PT PP URBAN,Pengembangan dan konstruksi kawasan hunian perkotaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
277,9/25/2025,2025,T RAHAYU MITRA BERSAMA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp21.435.500.000,
278,8/7/2025,2025,PT Aero Systems Indonesia,Jasa teknologi informasi dan sistem penerbangan,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
279,2/3/2025,2025,PT. Nusa Bali Jaya,Pengembang Properti & real estate,Surabaya,Properti & real estate,Bukan Tbk,,Undisclosed,,,,
280,12/15/2025,2025,PT. KURNIA ALAM SEJATI,Pertanian dan perkebunan,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,,,Rp9.368.793.952,
281,9/11/2025,2025,PT. Anugerah Tujuh Sejati,Perdagangan umum dan distribusi,Surabaya,Barang konsumen primer,Bukan Tbk,,Disclosed,Rp10.958.699.600,,Rp82.815.339.440,
282,9/30/2025,2025,PT Wahana Bersama Nusantara,Jasa transportasi dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
283,10/21/2025,2025,China Machinery Industry Construction Group Ltd.,Kontraktor konstruksi dan teknik,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
284,2/27/2025,2025,PT. SERVOTECH INDONESIA,Jasa rekayasa dan pemeliharaan industri,Medan,Perindustrian,Bukan Tbk,,Undisclosed,,,,
285,1/6/2025,2025,PT WIDODO MAKMUR PERKASA Tbk.,Peternakan sapi dan pengolahan daging,Jakarta Pusat,Bahan baku,Tbk,,Disclosed,Rp162.357.177.786,,117.154.735.778,
286,9/15/2025,2025,PT. Jasa Rahayu Gumpueng,Jasa pertanian dan agribisnis,Medan,Bahan baku,Bukan Tbk,,Disclosed,,,Rp7.490.000.000,
287,12/17/2025,2025,PT. SENTOSA LAJU SEJAHTERA,Jasa transportasi dan logistik,Surabaya,Transportasi,Bukan Tbk,,Undisclosed,,,,
288,2/10/2025,2025,PT RANTAI PASOK TEKNOLOGI,Jasa rantai pasok dan teknologi konstruksi,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,,,Rp15.624.000.000,
289,3/24/2025,2025,PT DAYA MANUNGGAL,Manufaktur tekstil dan produk serat,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
290,10/31/2025,2025,PT.MEWAH NIAGA JAYA,Perdagangan dan distribusi makanan/minuman,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,Rp1.012.311.799,
291,9/1/2025,2025,PT Swadaya Graha,Kontraktor konstruksi (anak usaha PGN),Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
292,10/14/2025,2025,PT Serba Dinamik Indonesia,Jasa pemeliharaan dan rekayasa industri (O&M),Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,,,Rp1.850.000.000,
293,6/12/2025,2025,PT CIPTATANI KUMAI SEJAHTERA,Perkebunan dan pengolahan hasil pertanian,Jakarta Pusat,Bahan baku,Bukan Tbk,,Disclosed,,,Rp20.108.139.404,
294,9/30/2025,2025,PT Tiara Global Propertindo,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,,,Rp8.700.000.000,
295,4/10/2025,2025,PT. Kasih Karunia Sejati,Perdagangan umum dan distribusi,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
296,9/22/2025,2025,PT. Bintang Sempati Star,Jasa transportasi dan distribusi,Medan,Transportasi,Bukan Tbk,,Undisclosed,,,,
297,3/24/2025,2025,PT. Hamatek Indo,Distribusi alat berat dan mesin industri,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,,
298,4/28/2025,2025,PT NUSANTARA INDAH,Perdagangan umum dan distribusi,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
299,10/3/2025,2025,PT Wjiaya Karya Industri & Konstruksi,Konstruksi industri dan manufaktur,Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,,,,
300,7/17/2025,2025,PT GLOBAL TRI TUNGGAL,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp4.003.391.954,
301,5/8/2025,2025,PT. KELOLA MINALAUT,Jasa perikanan dan pengolahan hasil laut,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,Rp1.198.032.320.870,Rp10.853.202.287,Rp678.305.505.677,
302,11/5/2025,2025,PT MITRA USAHA SARANA,Jasa pendukung industri energi,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,,,Rp10.087.025.462,
303,11/24/2025,2025,PT. Intan Nasional Iron Industri,Manufaktur produk baja dan logam (seng/besi),Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,,,Rp873.647.884,
304,6/17/2025,2025,PT MGA Utama Energi,Jasa dan perdagangan sektor energi,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,,,Rp13.682.168.450,
305,2/25/2025,2025,"PT BUKALAPAK.COM, TBK",Platform e-commerce dan teknologi digital,Jakarta Pusat,Teknologi,Tbk,,Undisclosed,,,,
306,4/14/2025,2025,PT Digital Alpha Indonesia,Teknologi digital dan solusi bisnis,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,,,Rp91.465.200,
307,6/23/2025,2025,PT. Pembangunan Perumahan Urban,Pengembangan dan konstruksi kawasan hunian perkotaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Disclosed,,,Rp707.020.000,
308,5/26/2025,2025,PT Harmas Jalesveva,Jasa pelayaran dan angkutan laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
309,3/24/2025,2025,KOPERASI SIMPAN PINJAM MITRA JASA INDRAMAYU,Koperasi simpan pinjam,Jakarta Pusat,Keuangan,Bukan Tbk,,Disclosed,,,Rp859.579.094,
310,6/10/2025,2025,PT PANDERMAN JAYA,Kontraktor konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
311,10/16/2025,2025,PT. SEBAUNG SAWIT PLANTATIONS,Perkebunan kelapa sawit,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,,
312,2/18/2025,2025,PT INDOKARYA TRI UTAMA,Jasa transportasi dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,,
313,8/19/2025,2025,PT SATRIA WIJAYA KUSUMA,Perdagangan umum dan konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
314,4/14/2025,2025,JAM'AN NURCHOTIB MANSUR,Individu/profesional,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp1.083.787.600,
315,2/17/2025,2025,PT. CAHAYA FROZEN RAYA,Distribusi produk makanan beku (frozen food),Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Disclosed,,,Rp2.561.062.940,
316,2/25/2025,2025,PT. SAMALINDO JAYA MANDIRI,Jasa transportasi dan logistik,Surabaya,Transportasi,Bukan Tbk,,Undisclosed,,,,
317,10/14/2025,2025,PT. DINAMIKA INOVASI TEKNOLOGI NASIONAL,Teknologi informasi dan inovasi digital,Surabaya,Teknologi,Bukan Tbk,,Undisclosed,,,,
318,9/1/2025,2025,PT ATMA ADHI SARANA TEKNOLOGI,Jasa konstruksi dan teknologi,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,,
319,3/24/2025,2025,PT. Karya Utama Persada,Jasa transportasi dan logistik,Makassar,Transportasi,Bukan Tbk,,Undisclosed,,,,
320,1/9/2025,2025,PT PETRO ENERGI SOLUSI,Jasa dan solusi teknik sektor minyak & gas,Surabaya,Energi,Bukan Tbk,,Disclosed,Rp4.276.484.186,,Rp45.621.893.000,
321,2/13/2025,2025,PT MIGAS MANDIRI PRATAMA HILIR KALIMANTAN TIMUR,Distribusi dan niaga hilir minyak & gas,Surabaya,Energi,Bukan Tbk,,Undisclosed,,,,
322,6/20/2025,2025,Sinohydro Corporation Limited,Kontraktor konstruksi proyek hidro dan infrastruktur,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,,
323,7/2/2025,2025,PT SENECA INDONESIA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,,
